text,label,length
my husband refuses to divorce me despite ongoing problems,0,57
the husband denied the paternity of the newborn child,0,53
finding or replacing the legal files i lost,2,43
unjust termination company canceled the contract without any cause,1,66
a witness confirmed malpractice during the professional s performance of duties,2,79
what should i do if someone uses my personal photos online without permission,2,77
the victim filed a complaint about embezzlement of his entrusted money,2,70
a case was filed to determine who should get child custody,0,58
the court made its decision based on the best interest of the child,0,67
the couple needed legal documentation to verify their marital status,0,68
i was verbally abused by a stranger while commuting,2,51
my reputation was damaged because of lies posted on the internet,2,64
retailer dispute customer demanding refund for defective goods,1,62
the buyer claimed he never received the goods paid for online,1,61
the police recorded a fine for failing to follow road signs,2,59
the dispute involves unclear property lines and shared land boundaries,2,70
someone started building on public land without permission,2,58
my accident compensation claim was delayed,2,42
there s a dispute between siblings over their inheritance share,0,63
the wife denied the husband s claim of revocation after divorce,0,63
a dispute arose after the business discovered fraud in financial reports,1,72
my employer didn t fulfill the contract obligations,1,51
the client still owes me money for the freelance job i finished,1,63
the police warned the suspect against further acts of intimidation,2,66
the case involves annulment due to lack of guardian consent,0,59
marketplace scam buyer tricked by dishonest seller,1,50
the husband denied the child s lineage leading to a legal case,0,62
there s a boundary conflict involving my land and the neighbor s property,2,73
i m seeking legal resolution for an inheritance dispute among family members,0,76
the wife requested full custody after the divorce,0,49
the investigation uncovered multiple human rights violations,2,60
the client is threatening legal action over our service agreement,1,65
the court ordered the custody to be transferred to the mother,0,61
online harassment case,2,22
the husband challenged the validity of the marriage certificate,0,63
the father complained that his contact rights were being violated,0,65
i m in a dispute over the copyright ownership of a song i created,2,65
the company refunded the client following an online transaction error,1,69
authorities opened an investigation into a neighborhood theft case,2,66
the manager investigated all service complaints to maintain company reputation,1,78
she requested to modify the existing contact rights arrangement,0,63
the officer documented several traffic violations made by the vehicle,2,69
a delivery business received a fine after its truck violated traffic laws,1,73
a customer raised a service complaint about delays in project completion,1,72
i was forced to leave my apartment even though i paid my rent,1,61
the firm filed a case over delivery issues and damaged goods,1,60
authorities intervened following welfare concerns reported by relatives,0,71
i was removed from my home unfairly need help understanding my rights,1,69
i m involved in a lawsuit concerning how to divide family property among siblings,0,81
i need legal help to resolve a disagreement with my supplier,1,60
breach of employment agreement company didn t meet promised conditions,1,70
a dispute arose between shareholders over profit distribution,1,61
the family reported medical negligence after the patient s health worsened,2,74
i m seeking legal advice about claiming payment after a workplace accident,2,74
the victim filed a complaint after facing a serious human rights violation,2,74
the renter caused serious damage and ignored all repair requests,1,64
the case involves disagreement over deliverables in a development agreement,1,75
fraud case unknown transaction appeared in my bank statement,2,60
report an online scam and get legal assistance,2,46
the case involves a conflict between partners over how the profits were divided,1,79
the firm took legal action after a threat targeting its brand reputation,1,72
a privacy complaint was submitted regarding personal data misuse by a friend,2,76
the investigation confirmed environmental damage caused by illegal dumping,2,74
i m in a dispute with a client who didn t pay for my freelance work,1,67
the firm was fined for violating safety standards and causing a health risk,1,75
the client claimed that the company violated its business obligations,1,69
defamation in workplace emails,2,30
i m being told to leave my apartment even though i ve paid my rent,2,66
the firm requested enforcement of the business obligation clause,1,64
i was wrongly accused of shoplifting,2,36
clear my name from a fraudulent loan case,2,41
a case was opened to investigate financial loss in a commercial project,1,71
the victim reported a data breach involving unauthorized access to his account,2,78
my reputation was harmed because of false posts on social platforms,2,67
landlord tenant dispute owner breaching contract and privacy,1,60
my coworker has been harassing me,2,33
workplace discrimination issue,2,30
the case concerns a commercial dispute between the company and its supplier,1,75
the husband sued his wife for not returning the dowry,0,53
i m having a dispute with my ex about visitation rights for our child,0,69
the shareholder demanded access to the company s financial records,1,66
the court reviewed evidence of malpractice committed by a licensed professional,2,79
i m looking for help preparing an official cybercrime report,2,60
a legal case was filed to enforce the signed financial agreement,1,64
the incident involved a breach of privacy that affected several individuals,2,75
a business partner was accused of assault during a contract meeting,1,67
residents filed a complaint about environmental safety concerns in the neighborhood,2,83
a lawsuit was filed because the landlord failed to pay back the deposit money,1,77
i want to understand how to negotiate custody and asset division properly,0,73
i want a divorce from my husband,0,32
the case concerns ownership and misuse of a patented design,1,59
the case involves a physical attack that resulted in serious harm,2,65
i m asking for help understanding the steps involved in divorce mediation,0,73
the case involves an unlawful eviction by a property owner,1,58
i filed a lawsuit to legally establish who the child s father is,0,64
the court reviewed documents related to the registered family endowment,0,71
i m having an insurance dispute after a recent car accident,2,59
a paternity case was submitted to confirm the child s legal father,0,66
i was tricked in an online deal and need help reporting it,2,58
i m asking for legal advice about privacy violations involving my images,2,72
the case involves harassment and violation of tenant rights,1,59
the situation has escalated and i m thinking about taking legal action,2,70
