Case Description,Category,label
My husband refuses to divorce me despite ongoing problems,Personal Status,0
The husband denied the paternity of the newborn child.,Personal Status,0
finding or replacing the legal files I lost.,General,2
Unjust termination — company canceled the contract without any cause.,Commercial,1
A witness confirmed malpractice during the professional’s performance of duties.,General,2
What should I do if someone uses my personal photos online without permission?,General,2
The victim filed a complaint about embezzlement of his entrusted money.,General,2
A case was filed to determine who should get child custody.,Personal Status,0
The court made its decision based on the best interest of the child.,Personal Status,0
The couple needed legal documentation to verify their marital status.,Personal Status,0
I was verbally abused by a stranger while commuting.,General,2
My reputation was damaged because of lies posted on the internet.,General,2
Retailer dispute — customer demanding refund for defective goods.,Commercial,1
The buyer claimed he never received the goods paid for online.,Commercial,1
The police recorded a fine for failing to follow road signs.,General,2
The dispute involves unclear property lines and shared land boundaries.,General,2
Someone started building on public land without permission.,General,2
My accident compensation claim was delayed.,General,2
There’s a dispute between siblings over their inheritance share.,Personal Status,0
The wife denied the husband’s claim of revocation after divorce.,Personal Status,0
A dispute arose after the business discovered fraud in financial reports.,Commercial,1
My employer didn’t fulfill the contract obligations.,Commercial,1
The firm launched an internal investigation after a driving offense caused a delivery delay.,Commercial,1
The client still owes me money for the freelance job I finished.,Commercial,1
The police warned the suspect against further acts of intimidation.,General,2
The case involves annulment due to lack of guardian consent.,Personal Status,0
Marketplace scam — buyer tricked by dishonest seller.,Commercial,1
"The husband denied the child’s lineage, leading to a legal case.",Personal Status,0
There’s a boundary conflict involving my land and the neighbor’s property.,General,2
I’m seeking legal resolution for an inheritance dispute among family members.,Personal Status,0
The wife requested full custody after the divorce.,Personal Status,0
The investigation uncovered multiple human rights violations.,General,2
The client is threatening legal action over our service agreement.,Commercial,1
The court ordered the custody to be transferred to the mother.,Personal Status,0
Online harassment case.,General,2
The husband challenged the validity of the marriage certificate.,Personal Status,0
The father complained that his contact rights were being violated.,Personal Status,0
I’m in a dispute over the copyright ownership of a song I created.,General,2
The company refunded the client following an online transaction error.,Commercial,1
Authorities opened an investigation into a neighborhood theft case.,General,2
The manager investigated all service complaints to maintain company reputation.,Commercial,1
She requested to modify the existing contact rights arrangement.,Personal Status,0
The officer documented several traffic violations made by the vehicle.,General,2
A delivery business received a fine after its truck violated traffic laws.,Commercial,1
A customer raised a service complaint about delays in project completion.,Commercial,1
I was forced to leave my apartment even though I paid my rent.,Commercial,1
The firm filed a case over delivery issues and damaged goods.,Commercial,1
Authorities intervened following welfare concerns reported by relatives.,Personal Status,0
"I was removed from my home unfairly, need help understanding my rights.",Commercial,1
I’m involved in a lawsuit concerning how to divide family property among siblings.,Personal Status,0
I need legal help to resolve a disagreement with my supplier.,Commercial,1
Breach of employment agreement — company didn’t meet promised conditions.,Commercial,1
A dispute arose between shareholders over profit distribution.,Commercial,1
The case is about getting permission to transfer my child to a new school post-divorce.,Personal Status,0
The family reported medical negligence after the patient’s health worsened.,General,2
I’m seeking legal advice about claiming payment after a workplace accident.,General,2
The victim filed a complaint after facing a serious human rights violation.,General,2
The renter caused serious damage and ignored all repair requests.,Commercial,1
The case involves disagreement over deliverables in a development agreement.,Commercial,1
Fraud case — unknown transaction appeared in my bank statement.,General,2
report an online scam and get legal assistance.,General,2
The case involves a conflict between partners over how the profits were divided.,Commercial,1
The firm took legal action after a threat targeting its brand reputation.,Commercial,1
A privacy complaint was submitted regarding personal data misuse by a friend.,General,2
The investigation confirmed environmental damage caused by illegal dumping.,General,2
I’m in a dispute with a client who didn’t pay for my freelance work.,Commercial,1
The firm was fined for violating safety standards and causing a health risk.,Commercial,1
The client claimed that the company violated its business obligations.,Commercial,1
Defamation in workplace emails.,General,2
I’m being told to leave my apartment even though I’ve paid my rent.,General,2
The firm requested enforcement of the business obligation clause.,Commercial,1
I was wrongly accused of shoplifting.,General,2
clear my name from a fraudulent loan case.,General,2
A case was opened to investigate financial loss in a commercial project.,Commercial,1
The victim reported a data breach involving unauthorized access to his account.,General,2
My reputation was harmed because of false posts on social platforms.,General,2
Landlord–tenant dispute — owner breaching contract and privacy.,Commercial,1
