Case Description,Category,cleaned_text
My husband refuses to divorce me despite ongoing problems,Personal Status,husband refus divorc despit ongo problem
The husband denied the paternity of the newborn child.,Personal Status,husband deni patern newborn child
finding or replacing the legal files I lost.,General,find replac legal file lost
Unjust termination — company canceled the contract without any cause.,Commercial,unjust termin — compani cancel contract without caus
A witness confirmed malpractice during the professional’s performance of duties.,General,wit confirm malpractic profession perform duti
What should I do if someone uses my personal photos online without permission?,General,someon use person photo onlin without permiss
The victim filed a complaint about embezzlement of his entrusted money.,General,victim file complaint embezzl entrust money
A case was filed to determine who should get child custody.,Personal Status,case file determin get child custodi
The court made its decision based on the best interest of the child.,Personal Status,court made decis base best interest child
The couple needed legal documentation to verify their marital status.,Personal Status,coupl need legal document verifi marit status
I was verbally abused by a stranger while commuting.,General,verbal abus stranger commut
My reputation was damaged because of lies posted on the internet.,General,reput damag lie post internet
Retailer dispute — customer demanding refund for defective goods.,Commercial,retail disput — custom demand refund defect good
The buyer claimed he never received the goods paid for online.,Commercial,buyer claim never receiv good paid onlin
The police recorded a fine for failing to follow road signs.,General,polic record fine fail follow road sign
The dispute involves unclear property lines and shared land boundaries.,General,disput involv unclear properti line share land boundari
Someone started building on public land without permission.,General,someon start build public land without permiss
My accident compensation claim was delayed.,General,accid compens claim delay
There’s a dispute between siblings over their inheritance share.,Personal Status,there disput sibl inherit share
The wife denied the husband’s claim of revocation after divorce.,Personal Status,wife deni husband claim revoc divorc
A dispute arose after the business discovered fraud in financial reports.,Commercial,disput aros busi discov fraud financi report
My employer didn’t fulfill the contract obligations.,Commercial,employ didn't fulfil contract oblig
The firm launched an internal investigation after a driving offense caused a delivery delay.,Commercial,firm launch intern investig drive offens caus deliveri delay
The client still owes me money for the freelance job I finished.,Commercial,client still owe money freelanc job finish
The police warned the suspect against further acts of intimidation.,General,polic warn suspect act intimid
The case involves annulment due to lack of guardian consent.,Personal Status,case involv annul due lack guardian consent
Marketplace scam — buyer tricked by dishonest seller.,Commercial,marketplac scam — buyer trick dishonest seller
"The husband denied the child’s lineage, leading to a legal case.",Personal Status,husband deni child lineag lead legal case
There’s a boundary conflict involving my land and the neighbor’s property.,General,there boundari conflict involv land neighbor properti
I’m seeking legal resolution for an inheritance dispute among family members.,Personal Status,i'm seek legal resolut inherit disput among famili member
The wife requested full custody after the divorce.,Personal Status,wife request full custodi divorc
The investigation uncovered multiple human rights violations.,General,investig uncov multipl human right violat
The client is threatening legal action over our service agreement.,Commercial,client threaten legal action servic agreement
The court ordered the custody to be transferred to the mother.,Personal Status,court order custodi transfer mother
Online harassment case.,General,onlin harass case
The husband challenged the validity of the marriage certificate.,Personal Status,husband challeng valid marriag certif
The father complained that his contact rights were being violated.,Personal Status,father complain contact right violat
I’m in a dispute over the copyright ownership of a song I created.,General,i'm disput copyright ownership song creat
The company refunded the client following an online transaction error.,Commercial,compani refund client follow onlin transact error
Authorities opened an investigation into a neighborhood theft case.,General,author open investig neighborhood theft case
The manager investigated all service complaints to maintain company reputation.,Commercial,manag investig servic complaint maintain compani reput
She requested to modify the existing contact rights arrangement.,Personal Status,request modifi exist contact right arrang
The officer documented several traffic violations made by the vehicle.,General,offic document sever traffic violat made vehicl
A delivery business received a fine after its truck violated traffic laws.,Commercial,deliveri busi receiv fine truck violat traffic law
A customer raised a service complaint about delays in project completion.,Commercial,custom rais servic complaint delay project complet
I was forced to leave my apartment even though I paid my rent.,Commercial,forc leav apart even though paid rent
The firm filed a case over delivery issues and damaged goods.,Commercial,firm file case deliveri issu damag good
Authorities intervened following welfare concerns reported by relatives.,Personal Status,author interven follow welfar concern report relat
"I was removed from my home unfairly, need help understanding my rights.",Commercial,remov home unfair need help understand right
I’m involved in a lawsuit concerning how to divide family property among siblings.,Personal Status,i'm involv lawsuit concern divid famili properti among sibl
I need legal help to resolve a disagreement with my supplier.,Commercial,need legal help resolv disagr supplier
Breach of employment agreement — company didn’t meet promised conditions.,Commercial,breach employ agreement — compani didn't meet promis condit
A dispute arose between shareholders over profit distribution.,Commercial,disput aros sharehold profit distribut
The case is about getting permission to transfer my child to a new school post-divorce.,Personal Status,case get permiss transfer child new school postdivorc
The family reported medical negligence after the patient’s health worsened.,General,famili report medic neglig patient health worsen
I’m seeking legal advice about claiming payment after a workplace accident.,General,i'm seek legal advic claim payment workplac accid
The victim filed a complaint after facing a serious human rights violation.,General,victim file complaint face serious human right violat
The renter caused serious damage and ignored all repair requests.,Commercial,renter caus serious damag ignor repair request
The case involves disagreement over deliverables in a development agreement.,Commercial,case involv disagr deliver develop agreement
Fraud case — unknown transaction appeared in my bank statement.,General,fraud case — unknown transact appear bank statement
report an online scam and get legal assistance.,General,report onlin scam get legal assist
The case involves a conflict between partners over how the profits were divided.,Commercial,case involv conflict partner profit divid
The firm took legal action after a threat targeting its brand reputation.,Commercial,firm took legal action threat target brand reput
A privacy complaint was submitted regarding personal data misuse by a friend.,General,privaci complaint submit regard person data misus friend
The investigation confirmed environmental damage caused by illegal dumping.,General,investig confirm environment damag caus illeg dump
I’m in a dispute with a client who didn’t pay for my freelance work.,Commercial,i'm disput client didn't pay freelanc work
The firm was fined for violating safety standards and causing a health risk.,Commercial,firm fine violat safeti standard caus health risk
The client claimed that the company violated its business obligations.,Commercial,client claim compani violat busi oblig
Defamation in workplace emails.,General,defam workplac email
I’m being told to leave my apartment even though I’ve paid my rent.,General,i'm told leav apart even though i'v paid rent
The firm requested enforcement of the business obligation clause.,Commercial,firm request enforc busi oblig claus
I was wrongly accused of shoplifting.,General,wrong accus shoplift
clear my name from a fraudulent loan case.,General,clear name fraudul loan case
A case was opened to investigate financial loss in a commercial project.,Commercial,case open investig financi loss commerci project
The victim reported a data breach involving unauthorized access to his account.,General,victim report data breach involv unauthor access account
My reputation was harmed because of false posts on social platforms.,General,reput harm fals post social platform
Landlord–tenant dispute — owner breaching contract and privacy.,Commercial,landlord–ten disput — owner breach contract privaci
My coworker has been harassing me.,General,cowork harass
workplace discrimination issue.,General,workplac discrimin issu
